dialog_idx,turn_idx,assignment
0,0,104
0,1,95
0,2,23
0,3,94
0,4,28
0,5,103
0,7,27
0,8,101
0,9,26
0,10,26
0,11,9
0,13,85
0,14,0
0,15,63
0,16,27
0,17,97
0,18,7
0,19,98
0,20,77
0,21,59
0,24,8
0,25,29
0,26,97
0,27,82
0,28,46
1,0,95
1,1,23
1,2,107
1,3,28
1,4,26
1,6,92
1,7,79
1,8,9
1,9,26
1,10,18
1,12,71
1,13,18
1,14,1
1,15,71
1,16,7
1,17,62
1,18,29
1,19,109
1,20,82
2,0,15
2,1,95
2,2,23
2,3,8
2,4,64
2,5,76
2,6,8
2,7,104
2,8,15
2,9,63
2,10,8
2,11,97
2,12,76
2,16,62
2,17,51
2,18,109
2,19,8
2,20,82
2,21,60
3,0,81
3,1,23
3,2,109
3,3,63
3,4,63
3,5,9
3,6,85
3,7,28
3,9,103
3,10,20
3,12,101
3,13,26
3,15,99
3,16,103
3,17,59
3,19,104
3,20,91
3,21,46
3,22,82
4,0,95
4,1,23
4,2,7
4,5,63
4,6,5
4,7,7
4,8,27
4,9,8
4,10,8
4,11,62
4,12,18
4,13,8
4,15,99
4,16,52
4,17,62
4,18,91
4,19,8
4,20,46
4,21,82
4,22,23
5,0,95
5,1,23
5,2,23
5,3,63
5,4,5
5,5,107
5,6,28
5,7,9
5,9,71
5,10,9
5,12,63
5,13,24
5,15,117
5,16,18
5,19,71
5,20,93
5,21,5
5,22,82
6,0,95
6,1,6
6,2,63
6,3,10
6,4,107
6,5,28
6,7,77
6,8,59
6,10,77
6,11,26
6,13,97
6,14,18
6,15,90
6,16,93
6,17,29
6,18,82
7,0,45
7,1,95
7,2,12
7,3,109
7,4,107
7,5,54
7,6,94
7,7,48
7,14,97
7,15,18
7,16,118
7,18,16
7,19,53
7,21,118
7,22,56
7,23,15
7,24,93
7,25,29
7,26,82
8,0,81
8,1,27
8,2,94
8,3,13
8,5,9
8,6,63
8,7,8
8,8,77
8,9,9
8,11,103
8,12,20
8,14,85
8,15,24
8,17,98
8,18,52
8,19,10
8,20,103
8,21,1
8,23,29
8,24,46
8,25,100
8,26,51
8,27,82
9,0,81
9,1,23
9,2,109
9,3,94
9,4,7
9,5,28
9,7,71
9,8,101
9,9,15
9,10,26
9,11,26
9,12,9
9,14,97
9,15,27
9,16,97
9,17,15
9,18,59
9,19,103
9,20,20
9,21,71
9,23,10
9,24,71
9,25,18
9,26,93
9,27,97
10,0,7
10,3,62
10,4,2
10,5,97
10,6,93
10,8,7
10,9,97
10,10,8
10,11,100
10,12,29
10,13,82
11,0,95
11,1,12
11,2,64
11,3,18
11,4,63
11,6,50
11,7,118
11,9,18
11,10,53
11,11,93
11,12,10
11,13,82
12,0,59
12,1,95
12,2,109
12,3,107
12,4,14
12,6,77
12,7,63
12,8,27
12,9,103
12,10,20
12,11,0
12,13,101
12,14,26
12,15,9
12,16,14
12,18,63
12,19,5
12,21,71
12,22,18
12,23,97
12,24,93
12,25,7
12,26,119
12,27,18
12,28,1
12,29,18
12,30,82
12,31,42
13,0,115
13,1,23
13,2,64
13,6,62
13,7,8
13,8,79
13,9,10
13,10,100
13,11,8
13,12,82
14,0,81
14,1,12
14,2,97
14,3,118
14,5,56
14,6,53
14,7,118
14,9,56
14,10,8
14,11,97
14,13,10
14,14,93
14,15,46
14,16,82
15,0,45
15,1,95
15,2,27
15,3,76
15,4,107
15,5,45
15,6,9
15,7,103
15,9,9
15,12,97
15,13,29
15,14,93
15,15,46
15,16,82
16,0,95
16,1,96
16,2,27
16,3,76
16,4,18
16,5,97
16,6,18
16,7,107
16,8,14
16,10,101
16,11,79
16,12,26
16,13,26
16,14,9
16,16,71
16,17,1
16,19,97
16,20,97
16,21,18
16,22,18
16,24,99
16,25,15
16,26,18
16,27,97
16,28,82
16,29,42
16,30,71
16,31,104
16,32,18
17,0,79
17,1,23
17,2,7
17,3,76
17,4,18
17,8,62
17,9,0
17,10,62
17,11,52
17,12,29
17,13,62
17,14,100
17,15,46
18,0,95
18,1,45
18,2,23
18,3,76
18,4,107
18,5,28
18,6,9
18,8,92
18,9,9
18,11,71
18,13,71
18,14,90
18,16,18
18,17,109
18,18,82
19,0,23
19,1,94
19,2,14
19,4,63
19,5,27
19,6,101
19,7,26
19,9,85
19,10,24
19,12,103
19,13,50
19,15,98
19,16,59
19,18,98
19,19,1
19,21,100
19,22,46
19,23,82
20,0,6
20,1,36
20,2,36
20,3,96
20,4,5
20,5,97
20,6,56
20,7,107
20,8,28
20,10,90
20,11,18
20,12,77
20,13,59
20,14,76
20,16,51
20,18,100
20,19,46
20,21,18
20,22,82
21,0,81
21,1,6
21,2,94
21,3,54
21,4,94
21,6,77
21,7,0
21,8,1
21,9,77
21,10,59
21,12,77
21,13,59
21,16,90
21,17,29
21,18,100
21,19,46
21,20,82
21,21,42
22,0,95
22,1,6
22,2,64
22,3,107
22,4,28
22,6,107
22,7,6
22,8,59
22,9,77
22,10,96
22,11,1
22,12,59
22,14,90
22,15,6
22,17,77
22,19,10
22,20,90
22,21,15
22,22,93
22,23,46
22,24,82
23,0,115
23,1,45
23,2,23
23,3,94
23,4,54
23,6,92
23,7,5
23,8,9
23,9,9
23,11,71
23,12,9
23,13,27
23,14,9
23,15,77
23,16,45
23,18,71
23,19,63
23,20,0
23,22,71
23,23,1
23,24,36
23,27,71
23,28,0
23,29,1
23,30,62
23,32,18
23,33,56
23,34,15
23,35,100
23,36,46
23,37,18
23,38,82
24,0,95
24,1,23
24,2,109
24,4,18
24,6,62
24,7,7
24,8,62
24,9,8
24,10,93
24,11,46
24,12,82
25,0,81
25,1,23
25,2,23
25,3,94
25,4,54
25,5,99
25,6,63
25,7,5
25,8,63
25,9,23
25,10,76
25,11,18
25,13,98
25,14,18
25,15,92
25,16,9
25,17,9
25,19,117
25,20,0
25,21,7
25,23,98
25,24,52
25,26,100
25,27,29
25,28,82
26,0,45
26,1,95
26,2,23
26,3,48
26,5,64
26,7,62
26,8,62
26,10,18
26,11,91
26,12,52
26,13,8
26,14,46
26,15,82
26,16,10
26,17,82
27,0,81
27,1,95
27,2,23
27,3,109
27,4,107
27,5,54
27,7,92
27,8,9
27,10,103
27,11,20
27,12,97
27,13,98
27,15,8
27,16,93
27,17,29
27,18,82
28,0,95
28,1,96
28,2,23
28,3,94
28,4,28
28,5,76
28,6,103
28,8,96
28,9,27
28,10,109
28,11,8
28,12,101
28,13,5
28,14,26
28,15,26
28,16,9
28,17,99
28,19,98
28,20,23
28,21,98
28,22,5
28,23,92
28,24,0
28,26,76
28,27,103
28,28,1
28,30,71
28,31,93
28,32,46
28,33,82
29,0,95
29,1,23
29,2,63
29,3,7
29,6,62
29,7,63
29,8,96
29,9,45
29,10,1
29,11,52
29,12,91
29,13,18
29,14,82
30,0,95
30,1,23
30,2,94
30,3,7
30,4,28
30,5,62
30,8,62
30,9,62
30,10,51
30,11,62
30,12,46
30,13,62
30,14,15
30,15,100
30,16,18
30,17,1
30,18,82
31,0,95
31,1,12
31,2,64
31,3,63
31,4,5
31,5,107
31,6,28
31,7,118
31,9,53
31,10,118
31,12,53
31,13,29
31,14,104
31,15,93
31,16,46
31,17,82
32,0,81
32,1,7
32,5,62
32,6,62
32,7,91
32,8,29
32,9,5
32,10,93
32,11,46
32,12,82
33,0,115
33,1,12
33,2,68
33,3,97
33,4,18
33,6,118
33,8,53
33,9,79
33,10,118
33,11,97
33,13,53
33,14,104
33,15,93
33,16,46
33,17,82
33,18,42
34,0,95
34,1,23
34,2,107
34,3,0
34,4,1
34,6,9
34,7,101
34,8,26
34,10,71
34,11,7
34,12,98
34,13,51
34,14,98
34,15,8
34,16,93
34,17,46
34,18,82
35,0,7
35,1,64
35,5,117
35,6,10
35,7,62
35,8,91
35,9,1
36,0,115
36,1,27
36,2,27
36,3,94
36,4,28
36,6,101
36,7,26
36,8,26
36,9,9
36,11,98
36,12,7
36,14,92
36,15,0
36,16,103
36,17,1
36,18,0
37,0,45
37,1,115
37,2,27
37,3,97
37,4,107
37,5,28
37,7,101
37,8,9
37,9,26
37,10,9
37,12,99
37,13,1
37,14,85
37,15,24
37,17,103
37,18,50
37,19,98
37,20,10
37,21,98
37,22,98
37,23,59
37,24,1
37,27,71
37,28,93
37,29,46
37,30,10
37,31,22
37,32,82
38,0,95
38,1,27
38,2,27
38,3,94
38,4,14
38,6,101
38,7,26
38,8,26
38,9,9
38,11,64
38,13,97
38,14,56
38,15,93
38,16,46
38,17,82
38,18,42
39,0,27
39,1,64
39,2,107
39,3,13
39,5,101
39,6,9
39,8,85
39,9,24
39,10,27
39,11,98
39,12,59
39,13,7
39,16,71
39,17,91
39,18,5
39,19,82
40,0,45
40,1,95
40,2,7
40,3,64
40,4,63
40,5,27
40,6,62
40,7,107
40,8,14
40,10,99
40,12,85
40,13,24
40,15,90
40,17,90
40,18,62
40,19,93
40,20,46
40,21,82
41,0,95
41,1,12
41,2,64
41,3,107
41,4,14
41,6,97
41,8,51
41,9,93
41,10,46
41,11,82
42,0,115
42,1,23
42,2,109
42,3,18
42,4,36
42,5,105
42,6,97
42,7,107
42,8,14
42,9,9
42,11,104
42,12,92
42,13,9
42,16,117
42,17,117
42,18,7
42,19,79
42,20,90
42,22,18
42,23,77
42,24,0
42,25,90
42,26,10
42,27,91
42,28,52
42,29,51
43,0,95
43,1,6
43,2,94
43,3,54
43,4,76
43,6,7
43,7,77
43,8,59
43,9,59
43,11,77
43,12,59
43,14,99
43,15,90
43,16,15
43,17,100
43,18,22
43,19,82
44,0,95
44,1,6
44,2,6
44,3,107
44,4,14
44,6,77
44,7,59
44,8,59
44,9,8
44,11,90
44,12,8
44,13,82
45,0,95
45,1,6
45,2,94
45,3,28
45,5,63
45,6,6
45,7,8
45,8,63
45,9,77
45,10,8
45,11,79
45,13,71
45,14,18
45,15,77
45,16,77
45,17,1
45,19,90
45,20,93
45,21,29
45,22,82
46,0,95
46,1,23
46,2,94
46,3,14
46,4,26
46,5,26
46,7,9
46,9,71
46,10,93
46,11,29
46,12,82
47,0,81
47,1,23
47,2,94
47,3,14
47,4,97
47,8,62
47,9,62
47,10,93
47,11,46
47,12,82
48,0,115
48,1,6
48,2,6
48,3,94
48,4,45
48,6,17
48,7,79
48,8,1
48,10,90
48,11,29
48,12,90
48,14,93
48,15,46
48,16,99
48,17,82
49,0,95
49,1,27
49,2,63
49,3,27
49,4,63
49,5,8
49,6,97
49,7,18
49,8,94
49,9,14
49,10,26
49,12,104
49,13,101
49,14,26
49,15,9
49,16,26
49,18,85
49,19,24
49,21,103
49,22,50
49,23,71
49,24,18
49,25,98
49,26,59
49,28,98
49,29,52
49,30,71
49,31,93
49,32,10
49,33,82
49,34,42
50,0,115
50,1,12
50,2,48
50,3,109
50,4,107
50,5,14
50,8,92
50,9,9
50,10,7
50,12,97
50,13,97
50,14,8
50,15,98
50,16,63
50,17,5
50,19,90
50,20,29
50,21,62
50,22,93
50,23,46
50,24,82
51,0,81
51,1,0
51,2,6
51,3,64
51,4,18
51,5,107
51,6,13
51,8,77
51,9,26
51,11,90
51,12,18
51,13,90
51,15,93
51,16,46
51,17,82
52,0,81
52,1,23
52,4,62
52,6,63
52,7,2
52,8,62
52,9,29
52,10,93
52,11,7
52,12,62
52,14,91
52,15,29
52,16,82
53,0,81
53,1,45
53,2,6
53,3,7
53,4,107
53,5,5
53,6,28
53,8,77
53,9,5
53,10,59
53,11,59
53,13,90
53,14,93
53,15,46
53,16,10
53,17,82
54,0,115
54,1,23
54,2,94
54,3,28
54,4,9
54,6,9
54,8,99
54,9,63
54,10,51
54,11,27
54,12,97
54,13,76
54,15,97
54,16,103
54,17,51
54,18,27
54,19,97
54,20,51
54,21,97
54,22,93
54,23,46
54,24,82
55,0,95
55,1,27
55,2,63
55,3,79
55,4,5
55,5,107
55,6,54
55,8,101
55,9,26
55,11,76
55,12,85
55,13,24
55,15,103
55,16,8
55,17,63
55,18,20
55,19,71
55,20,98
55,21,38
55,23,98
55,24,59
55,26,93
55,27,51
55,28,82
56,0,95
56,1,23
56,2,94
56,3,23
56,4,64
56,6,101
56,7,9
56,8,26
56,9,77
56,10,26
56,12,71
56,13,103
56,14,27
56,15,63
56,16,27
56,17,76
56,18,18
56,21,71
56,22,93
56,23,46
56,24,104
57,0,81
57,1,6
57,2,90
57,4,107
57,5,8
57,6,17
57,7,77
57,8,59
57,9,59
57,11,90
57,13,77
57,14,53
57,16,90
57,17,93
57,18,29
57,19,82
58,0,27
58,1,85
58,2,14
58,3,92
