dialog_idx,turn_idx,assignment
0,0,11
0,1,22
0,2,11
0,3,25
0,4,11
0,5,24
0,6,10
0,7,1
0,8,14
1,0,9
1,1,23
1,2,12
1,3,22
1,4,7
1,5,22
1,6,7
1,7,18
1,8,13
1,9,19
1,10,5
1,11,1
1,12,14
2,0,10
2,1,26
2,2,7
2,3,21
2,4,10
2,5,19
2,6,15
2,7,1
2,8,14
2,9,0
3,0,5
3,1,19
3,2,12
3,3,26
3,4,13
3,5,27
4,0,4
4,1,25
4,2,15
4,3,16
5,0,18
5,1,11
5,2,18
5,3,7
5,4,18
5,5,15
5,6,0
6,0,13
6,1,27
6,2,7
6,3,2
7,0,21
7,1,5
7,2,21
7,3,15
7,4,0
8,0,7
8,1,27
8,2,4
8,3,25
8,4,4
8,5,15
8,6,0
9,0,19
9,1,5
9,2,22
9,3,7
9,4,27
9,5,13
9,6,24
9,7,1
9,8,14
10,0,1
10,1,19
10,2,5
10,3,25
10,4,14
11,0,13
11,1,18
11,2,8
11,3,21
11,4,7
11,5,24
11,6,15
11,7,0
12,0,9
12,1,26
12,2,7
12,3,22
12,4,8
12,5,27
12,6,13
12,7,21
12,8,7
12,9,25
12,10,13
12,11,25
12,12,15
12,13,0
13,0,23
13,1,11
13,2,22
13,3,8
13,4,21
13,5,15
13,6,16
14,0,15
14,1,7
14,2,7
14,3,2
14,4,1
15,0,7
15,1,25
15,2,4
15,3,18
15,4,4
15,5,1
15,6,24
15,7,14
16,0,7
16,1,21
16,2,7
16,3,21
16,4,15
16,5,0
17,0,10
17,1,26
17,2,8
17,3,22
17,4,13
17,5,26
17,6,4
17,7,25
17,8,5
17,9,19
17,10,1
17,11,14
18,0,19
18,1,5
18,2,25
18,3,8
18,4,26
18,5,11
18,6,27
18,7,8
18,8,27
18,9,13
18,10,27
18,11,11
18,12,19
18,13,2
19,0,15
19,1,12
19,2,5
19,3,3
20,0,7
20,1,20
20,2,13
20,3,18
20,4,1
20,5,10
20,6,14
21,0,19
21,1,12
21,2,26
21,3,15
21,4,11
21,5,0
22,0,23
22,1,12
22,2,22
22,3,11
22,4,20
22,5,11
22,6,22
22,7,13
22,8,22
22,9,13
22,10,27
23,0,12
23,1,26
23,2,15
23,3,11
23,4,19
23,5,12
23,6,19
23,7,12
23,8,26
23,9,5
23,10,26
23,11,6
23,12,26
23,13,10
23,14,0
24,0,19
24,1,9
24,2,24
24,3,12
24,4,22
24,5,12
24,6,22
24,7,7
24,8,21
24,9,4
24,10,25
24,11,5
24,12,15
24,13,0
25,0,20
25,1,7
25,2,24
25,3,1
25,4,14
26,0,5
26,1,23
26,2,8
26,3,21
26,4,10
26,5,1
26,6,14
27,0,26
27,1,12
27,2,26
27,3,12
27,4,24
27,5,7
27,6,21
27,7,1
27,8,14
28,0,9
28,1,26
28,2,13
28,3,20
28,4,13
28,5,27
28,6,10
28,7,1
28,8,15
28,9,14
28,10,0
29,0,9
29,1,26
29,2,11
29,3,22
29,4,12
29,5,22
29,6,12
29,7,26
29,8,8
29,9,20
29,10,7
29,11,25
29,12,4
29,13,1
29,14,19
29,15,14
30,0,9
30,1,22
30,2,13
30,3,22
30,4,7
30,5,21
30,6,4
30,7,18
30,8,8
30,9,1
30,10,22
30,11,14
31,0,9
31,1,22
31,2,7
31,3,18
31,4,4
31,5,1
31,6,14
32,0,12
32,1,22
32,2,12
32,3,19
32,4,12
32,5,19
32,6,7
32,7,15
32,8,0
33,0,23
33,1,7
33,2,20
33,3,7
33,4,27
33,5,13
33,6,22
33,7,13
33,8,24
33,9,1
33,10,14
34,0,12
34,1,22
34,2,12
34,3,19
34,4,5
34,5,1
34,6,14
35,0,26
35,1,9
35,2,26
35,3,12
35,4,22
35,5,7
35,6,22
35,7,15
35,8,3
36,0,6
36,1,20
36,2,11
36,3,1
36,4,22
36,5,14
37,0,23
37,1,7
37,2,27
37,3,7
37,4,27
37,5,4
37,6,1
37,7,14
38,0,8
38,1,26
38,2,12
38,3,22
38,4,11
38,5,25
38,6,11
38,7,24
38,8,8
38,9,24
38,10,10
38,11,16
39,0,9
39,1,25
39,2,7
39,3,27
39,4,7
39,5,21
39,6,12
39,7,25
39,8,11
39,9,1
39,10,14
40,0,9
40,1,22
40,2,8
40,3,22
40,4,8
40,5,22
40,6,13
40,7,22
40,8,13
40,9,27
40,10,10
