dialog_idx,turn_idx,assignment
0,0,0
0,1,0
0,2,0
0,3,4
0,4,4
0,5,4
0,7,4
0,8,4
0,9,4
0,10,4
0,11,4
0,13,4
0,14,4
0,15,4
0,16,4
0,17,8
0,18,8
0,19,8
0,20,8
0,21,8
0,24,1
0,25,1
0,26,1
0,27,2
0,28,2
1,0,0
1,1,0
1,2,4
1,3,4
1,4,4
1,6,4
1,7,4
1,8,4
1,9,4
1,10,3
1,12,3
1,13,3
1,14,3
1,15,3
1,16,3
1,17,3
1,18,1
1,19,1
1,20,2
2,0,0
2,1,0
2,2,0
2,3,6
2,4,6
2,5,6
2,6,6
2,7,6
2,8,6
2,9,6
2,10,6
2,11,6
2,12,6
2,16,6
2,17,1
2,18,1
2,19,1
2,20,2
2,21,2
3,0,0
3,1,0
3,2,4
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,9,4
3,10,4
3,12,4
3,13,4
3,15,4
3,16,8
3,17,8
3,19,1
3,20,1
3,21,1
3,22,2
4,0,0
4,1,0
4,2,4
4,5,4
4,6,4
4,7,3
4,8,3
4,9,3
4,10,3
4,11,3
4,12,3
4,13,3
4,15,3
4,16,3
4,17,3
4,18,1
4,19,1
4,20,1
4,21,2
4,22,2
5,0,0
5,1,0
5,2,0
5,3,4
5,4,4
5,5,4
5,6,4
5,7,4
5,9,4
5,10,4
5,12,4
5,13,3
5,15,3
5,16,3
5,19,3
5,20,1
5,21,1
5,22,2
6,0,0
6,1,6
6,2,6
6,3,7
6,4,7
6,5,7
6,7,7
6,8,7
6,10,7
6,11,7
6,13,7
6,14,7
6,15,7
6,16,1
6,17,1
6,18,2
7,0,0
7,1,0
7,2,5
7,3,5
7,4,5
7,5,5
7,6,5
7,7,5
7,14,5
7,15,5
7,16,5
7,18,5
7,19,5
7,21,5
7,22,5
7,23,1
7,24,1
7,25,1
7,26,2
8,0,0
8,1,4
8,2,4
8,3,4
8,5,4
8,6,4
8,7,4
8,8,4
8,9,4
8,11,8
8,12,8
8,14,8
8,15,8
8,17,8
8,18,8
8,19,8
8,20,8
8,21,8
8,23,1
8,24,1
8,25,1
8,26,1
8,27,2
9,0,0
9,1,0
9,2,4
9,3,4
9,4,4
9,5,4
9,7,4
9,8,4
9,9,4
9,10,4
9,11,4
9,12,4
9,14,4
9,15,4
9,16,8
9,17,8
9,18,8
9,19,8
9,20,8
9,21,8
9,23,8
9,24,8
9,25,1
9,26,1
9,27,2
10,0,0
10,3,6
10,4,6
10,5,3
10,6,3
10,8,3
10,9,3
10,10,3
10,11,1
10,12,1
10,13,2
11,0,0
11,1,5
11,2,5
11,3,5
11,4,5
11,6,5
11,7,5
11,9,5
11,10,5
11,11,1
11,12,1
11,13,2
12,0,0
12,1,0
12,2,4
12,3,4
12,4,4
12,6,4
12,7,4
12,8,4
12,9,4
12,10,4
12,11,4
12,13,4
12,14,4
12,15,4
12,16,4
12,18,4
12,19,4
12,21,3
12,22,3
12,23,3
12,24,3
12,25,3
12,26,3
12,27,3
12,28,3
12,29,1
12,30,2
12,31,2
13,0,0
13,1,0
13,2,6
13,6,6
13,7,6
13,8,6
13,9,1
13,10,1
13,11,1
13,12,2
14,0,0
14,1,5
14,2,5
14,3,5
14,5,5
14,6,5
14,7,5
14,9,5
14,10,5
14,11,5
14,13,1
14,14,1
14,15,1
14,16,2
15,0,0
15,1,0
15,2,4
15,3,4
15,4,4
15,5,4
15,6,4
15,7,4
15,9,4
15,12,3
15,13,1
15,14,1
15,15,1
15,16,2
16,0,0
16,1,4
16,2,4
16,3,4
16,4,4
16,5,4
16,6,4
16,7,4
16,8,4
16,10,4
16,11,4
16,12,4
16,13,4
16,14,4
16,16,3
16,17,3
16,19,3
16,20,3
16,21,3
16,22,3
16,24,3
16,25,1
16,26,1
16,27,1
16,28,2
16,29,2
16,30,2
16,31,2
16,32,2
17,0,0
17,1,0
17,2,6
17,3,6
17,4,6
17,8,6
17,9,6
17,10,6
17,11,6
17,12,1
17,13,1
17,14,1
17,15,2
18,0,0
18,1,0
18,2,0
18,3,4
18,4,4
18,5,4
18,6,4
18,8,4
18,9,4
18,11,9
18,13,9
18,14,9
18,16,1
18,17,1
18,18,2
19,0,0
19,1,4
19,2,4
19,4,4
19,5,4
19,6,4
19,7,4
19,9,8
19,10,8
19,12,8
19,13,8
19,15,8
19,16,8
19,18,8
19,19,8
19,21,1
19,22,1
19,23,2
20,0,0
20,1,0
20,2,6
20,3,6
20,4,7
20,5,7
20,6,7
20,7,7
20,8,7
20,10,7
20,11,7
20,12,7
20,13,7
20,14,7
20,16,1
20,18,1
20,19,1
20,21,1
20,22,2
21,0,0
21,1,6
21,2,6
21,3,6
21,4,6
21,6,7
21,7,7
21,8,7
21,9,7
21,10,7
21,12,7
21,13,7
21,16,7
21,17,1
21,18,1
21,19,1
21,20,2
21,21,2
22,0,0
22,1,6
22,2,6
22,3,7
22,4,7
22,6,7
22,7,7
22,8,7
22,9,7
22,10,7
22,11,7
22,12,7
22,14,7
22,15,7
22,17,7
22,19,7
22,20,7
22,21,1
22,22,1
22,23,1
22,24,2
23,0,0
23,1,0
23,2,0
23,3,4
23,4,4
23,6,4
23,7,4
23,8,4
23,9,4
23,11,4
23,12,4
23,13,4
23,14,4
23,15,4
23,16,4
23,18,8
23,19,8
23,20,8
23,22,8
23,23,8
23,24,8
23,27,8
23,28,8
23,29,8
23,30,8
23,32,1
23,33,1
23,34,1
23,35,1
23,36,1
23,37,1
23,38,2
24,0,0
24,1,0
24,2,6
24,4,6
24,6,6
24,7,6
24,8,6
24,9,6
24,10,1
24,11,1
24,12,2
25,0,0
25,1,0
25,2,0
25,3,4
25,4,4
25,5,4
25,6,4
25,7,4
25,8,4
25,9,4
25,10,9
25,11,9
25,13,9
25,14,9
25,15,9
25,16,9
25,17,9
25,19,9
25,20,9
25,21,9
25,23,9
25,24,9
25,26,1
25,27,1
25,28,2
26,0,0
26,1,0
26,2,0
26,3,6
26,5,6
26,7,6
26,8,6
26,10,1
26,11,1
26,12,1
26,13,1
26,14,1
26,15,2
26,16,2
26,17,2
27,0,0
27,1,0
27,2,0
27,3,4
27,4,4
27,5,4
27,7,4
27,8,4
27,10,8
27,11,8
27,12,8
27,13,8
27,15,1
27,16,1
27,17,1
27,18,2
28,0,0
28,1,0
28,2,0
28,3,4
28,4,4
28,5,4
28,6,4
28,8,4
28,9,4
28,10,4
28,11,4
28,12,4
28,13,4
28,14,4
28,15,4
28,16,4
28,17,4
28,19,8
28,20,8
28,21,8
28,22,8
28,23,8
28,24,8
28,26,8
28,27,8
28,28,8
28,30,8
28,31,1
28,32,1
28,33,2
29,0,0
29,1,0
29,2,6
29,3,6
29,6,6
29,7,6
29,8,6
29,9,7
29,10,7
29,11,1
29,12,1
29,13,1
29,14,2
30,0,0
30,1,0
30,2,6
30,3,6
30,4,6
30,5,6
30,8,6
30,9,6
30,10,6
30,11,6
30,12,1
30,13,1
30,14,1
30,15,1
30,16,1
30,17,1
30,18,2
31,0,0
31,1,5
31,2,5
31,3,5
31,4,5
31,5,5
31,6,5
31,7,5
31,9,5
31,10,5
31,12,5
31,13,1
31,14,1
31,15,1
31,16,1
31,17,2
32,0,0
32,1,6
32,5,6
32,6,6
32,7,1
32,8,1
32,9,1
32,10,1
32,11,1
32,12,2
33,0,0
33,1,5
33,2,5
33,3,5
33,4,5
33,6,5
33,8,5
33,9,5
33,10,5
33,11,5
33,13,5
