dialog_idx,turn_idx,assignment
0,0,0
0,1,4
0,2,4
0,3,5
0,4,5
0,5,6
0,6,6
0,7,1
0,8,2
1,0,0
1,1,0
1,2,4
1,3,4
1,4,4
1,5,4
1,6,5
1,7,5
1,8,5
1,9,3
1,10,7
1,11,1
1,12,2
2,0,0
2,1,4
2,2,5
2,3,5
2,4,6
2,5,1
2,6,1
2,7,1
2,8,2
2,9,2
3,0,0
3,1,0
3,2,4
3,3,4
3,4,5
3,5,5
4,0,0
4,1,4
4,2,1
4,3,2
5,0,0
5,1,4
5,2,5
5,3,5
5,4,3
5,5,1
5,6,2
6,0,0
6,1,4
6,2,4
6,3,2
7,0,0
7,1,4
7,2,5
7,3,1
7,4,2
8,0,0
8,1,4
8,2,5
8,3,5
8,4,7
8,5,1
8,6,2
9,0,0
9,1,0
9,2,4
9,3,5
9,4,5
9,5,5
9,6,6
9,7,1
9,8,2
10,0,0
10,1,0
10,2,0
10,3,4
10,4,2
11,0,0
11,1,4
11,2,4
11,3,5
11,4,5
11,5,6
11,6,1
11,7,2
12,0,0
12,1,4
12,2,4
12,3,4
12,4,4
12,5,5
12,6,5
12,7,5
12,8,5
12,9,5
12,10,5
12,11,6
12,12,1
12,13,2
13,0,0
13,1,4
13,2,4
13,3,4
13,4,5
13,5,1
13,6,2
14,0,0
14,1,4
14,2,5
14,3,6
14,4,1
15,0,0
15,1,4
15,2,5
15,3,5
15,4,7
15,5,1
15,6,1
15,7,2
16,0,0
16,1,4
16,2,5
16,3,5
16,4,1
16,5,2
17,0,0
17,1,4
17,2,4
17,3,4
17,4,4
17,5,4
17,6,5
17,7,5
17,8,7
17,9,1
17,10,1
17,11,2
18,0,0
18,1,0
18,2,4
18,3,4
18,4,4
18,5,4
18,6,5
18,7,5
18,8,5
18,9,5
18,10,5
18,11,6
18,12,1
18,13,2
19,0,0
19,1,4
19,2,1
19,3,2
20,0,0
20,1,4
20,2,5
20,3,5
20,4,1
20,5,1
20,6,2
21,0,0
21,1,4
21,2,4
21,3,1
21,4,1
21,5,2
22,0,0
22,1,4
22,2,4
22,3,4
22,4,4
22,5,4
22,6,4
22,7,4
22,8,4
22,9,5
22,10,5
23,0,0
23,1,4
23,2,4
23,3,4
23,4,4
23,5,4
23,6,4
23,7,4
23,8,4
23,9,4
23,10,4
23,11,4
23,12,4
23,13,1
23,14,2
24,0,0
24,1,0
24,2,4
24,3,4
24,4,4
24,5,4
24,6,4
24,7,5
24,8,5
24,9,5
24,10,5
24,11,7
24,12,1
24,13,2
25,0,0
25,1,4
25,2,1
25,3,1
25,4,2
26,0,0
26,1,0
26,2,4
26,3,5
26,4,6
26,5,1
26,6,2
27,0,0
27,1,4
27,2,4
27,3,4
27,4,4
27,5,5
27,6,5
27,7,1
27,8,2
28,0,0
28,1,4
28,2,4
28,3,4
28,4,5
28,5,5
28,6,6
28,7,1
28,8,1
28,9,2
28,10,2
29,0,0
29,1,4
29,2,4
29,3,4
29,4,4
29,5,4
29,6,4
29,7,4
29,8,4
29,9,4
29,10,5
29,11,5
29,12,5
29,13,1
29,14,1
29,15,2
30,0,0
30,1,4
30,2,4
30,3,4
30,4,5
30,5,5
30,6,5
30,7,5
30,8,6
30,9,1
30,10,1
30,11,2
31,0,0
31,1,4
31,2,5
31,3,5
31,4,7
31,5,1
31,6,2
32,0,0
32,1,4
32,2,4
32,3,4
32,4,4
32,5,4
32,6,5
32,7,1
32,8,2
33,0,0
33,1,4
33,2,4
33,3,5
33,4,5
33,5,5
33,6,5
33,7,5
33,8,6
33,9,1
33,10,2
34,0,0
34,1,4
34,2,4
34,3,5
34,4,7
34,5,1
34,6,2
35,0,0
35,1,0
35,2,4
35,3,4
35,4,4
35,5,5
35,6,6
35,7,1
35,8,2
36,0,0
36,1,4
36,2,5
36,3,1
36,4,1
36,5,2
37,0,0
37,1,4
37,2,5
37,3,5
37,4,5
37,5,7
37,6,1
37,7,2
38,0,0
38,1,4
38,2,4
38,3,4
38,4,4
38,5,5
38,6,5
38,7,6
38,8,6
38,9,6
38,10,1
38,11,2
39,0,0
39,1,4
39,2,5
39,3,5
39,4,5
39,5,5
39,6,5
39,7,5
39,8,6
39,9,1
39,10,2
40,0,0
40,1,4
40,2,4
40,3,4
40,4,4
40,5,4
40,6,4
40,7,4
40,8,5
40,9,5
40,10,6
40,11,1
40,12,2
41,0,0
41,1,0
41,2,4
41,3,5
41,4,5
41,5,5
41,6,5
41,7,5
41,8,7
41,9,1
41,10,2
42,0,0
42,1,4
42,2,4
42,3,5
42,4,5
42,5,5
42,6,6
42,7,1
42,8,2
43,0,0
43,1,4
43,2,4
43,3,5
43,4,5
43,5,5
43,6,5
43,7,5
43,8,6
43,9,1
43,10,2
44,0,0
44,1,4
44,2,4
44,3,4
44,4,5
44,5,6
44,6,1
44,7,2
45,0,0
45,1,4
45,2,4
45,3,4
45,4,4
45,5,4
45,6,5
45,7,5
45,8,3
45,9,3
45,10,3
45,11,3
45,12,1
45,13,2
46,0,0
46,1,0
46,2,4
46,3,4
46,4,4
46,5,4
46,6,4
46,7,5
46,8,1
46,9,2
47,0,0
47,1,0
47,2,0
47,3,4
47,4,4
47,5,5
47,6,5
47,7,5
47,8,5
47,9,5
47,10,5
47,11,1
47,12,2
48,0,0
48,1,0
48,2,4
48,3,4
48,4,5
48,5,5
48,6,5
48,7,6
48,8,1
48,9,2
49,0,0
49,1,4
49,2,5
49,3,5
49,4,1
49,5,2
50,0,0
50,1,4
50,2,4
50,3,4
50,4,4
50,5,4
50,6,5
50,7,5
50,8,5
50,9,5
50,10,5
50,11,6
50,12,1
50,13,2
51,0,0
51,1,4
51,2,4
51,3,4
51,4,4
51,5,4
51,6,4
51,7,4
51,8,4
51,9,5
51,10,5
51,11,6
51,12,1
51,13,2
52,0,0
52,1,4
52,2,5
52,3,6
52,4,1
52,5,2
53,0,0
53,1,4
53,2,5
53,3,5
53,4,1
53,5,1
53,6,2
54,0,0
54,1,4
54,2,4
54,3,4
54,4,4
54,5,4
54,6,5
54,7,6
54,8,1
54,9,2
55,0,0
55,1,4
55,2,4
55,3,4
55,4,4
55,5,4
55,6,5
55,7,5
55,8,5
55,9,5
55,10,5
55,11,6
55,12,1
55,13,2
56,0,0
56,1,0
56,2,4
56,3,4
56,4,4
56,5,4
56,6,4
56,7,5
56,8,5
56,9,6
56,10,1
56,11,2
57,0,0
57,1,4
57,2,4
57,3,5
57,4,5
57,5,5
57,6,5
57,7,5
57,8,6
57,9,1
57,10,2
58,0,0
58,1,0
58,2,4
58,3,4
58,4,4
58,5,4
58,6,5
58,7,5
59,0,0
59,1,4
59,2,4
59,3,4
59,4,4
59,5,4
59,6,4
59,7,4
59,8,5
59,9,5
59,10,5
59,11,5
59,12,3
59,13,3
59,14,3
59,15,1
59,16,2
60,0,0
60,1,4
60,2,4
60,3,4
60,4,5
60,5,5
60,6,6
60,7,6
60,8,1
60,9,2
61,0,0
61,1,0
61,2,4
61,3,5
61,4,5
61,5,5
61,6,6
61,7,1
61,8,2
62,0,0
62,1,0
62,2,4
62,3,4
62,4,5
62,5,5
62,6,6
62,7,1
62,8,1
62,9,2
63,0,0
63,1,4
63,2,4
63,3,4
63,4,4
63,5,4
63,6,4
63,7,4
63,8,4
63,9,4
63,10,4
63,11,4
63,12,5
63,13,5
63,14,1
63,15,2
64,0,0
64,1,4
64,2,4
64,3,4
64,4,4
64,5,4
64,6,5
64,7,5
64,8,5
64,9,5
64,10,5
64,11,5
64,12,5
64,13,3
64,14,1
64,15,2
65,0,0
65,1,4
65,2,4
65,3,4
65,4,4
65,5,5
65,6,5
65,7,5
65,8,6
65,9,1
65,10,2
66,0,0
66,1,4
66,2,5
66,3,6
66,4,1
66,5,2
67,0,0
67,1,4
67,2,4
67,3,4
67,4,4
67,5,4
67,6,4
67,7,4
67,8,4
67,9,4
67,10,4
67,11,4
67,12,4
67,13,4
67,14,1
67,15,1
67,16,2
68,0,0
68,1,4
68,2,4
68,3,4
68,4,4
68,5,4
68,6,5
68,7,5
68,8,6
68,9,1
68,10,2
69,0,0
69,1,4
69,2,4
69,3,4
69,4,4
69,5,4
69,6,4
69,7,4
69,8,4
69,9,5
69,10,7
69,11,7
69,12,1
69,13,2
70,0,0
70,1,4
70,2,5
70,3,5
70,4,5
70,5,5
70,6,5
70,7,6
70,8,1
70,9,2
71,0,0
71,1,0
71,2,4
71,3,4
71,4,4
71,5,5
71,6,5
71,7,6
71,8,1
71,9,2
72,0,0
72,1,0
72,2,0
72,3,4
72,4,4
72,5,4
72,6,4
72,7,4
72,8,5
72,9,5
72,10,5
72,11,5
72,12,1
72,13,2
73,0,0
73,1,4
73,2,4
73,3,5
73,4,5
73,5,5
73,6,5
73,7,7
73,8,1
73,9,2
74,0,0
74,1,4
74,2,4
74,3,4
74,4,4
74,5,4
74,6,4
74,7,4
74,8,4
74,9,5
74,10,6
74,11,1
74,12,2
75,0,0
75,1,0
75,2,4
75,3,4
75,4,4
75,5,5
75,6,5
75,7,6
75,8,1
75,9,1
75,10,1
75,11,2
76,0,0
76,1,4
76,2,4
76,3,4
76,4,4
76,5,5
76,6,5
76,7,5
76,8,5
76,9,6
76,10,1
76,11,2
77,0,0
77,1,4
77,2,5
77,3,5
77,4,5
77,5,5
77,6,5
77,7,5
77,8,6
77,9,1
77,10,2
78,0,0
78,1,4
78,2,4
78,3,4
78,4,4
78,5,5
78,6,5
78,7,5
78,8,5
78,9,5
78,10,5
78,11,1
78,12,1
78,13,2
79,0,0
79,1,4
79,2,4
79,3,4
79,4,4
79,5,4
79,6,5
79,7,5
79,8,5
79,9,6
79,10,1
79,11,2
80,0,0
80,1,4
80,2,4
80,3,5
80,4,5
80,5,5
80,6,5
80,7,5
80,8,5
80,9,5
80,10,5
80,11,5
80,12,5
80,13,1
80,14,1
80,15,2
81,0,0
81,1,0
81,2,4
81,3,4
81,4,4
81,5,4
81,6,4
81,7,5
81,8,1
81,9,2
82,0,0
82,1,0
82,2,4
82,3,4
82,4,4
82,5,4
82,6,5
82,7,5
82,8,6
82,9,6
82,10,1
82,11,2
83,0,0
83,1,4
83,2,4
83,3,4
83,4,5
83,5,5
83,6,5
83,7,6
83,8,1
83,9,2
84,0,0
84,1,4
84,2,4
84,3,4
84,4,4
84,5,5
84,6,5
84,7,5
84,8,6
84,9,1
84,10,2
85,0,0
85,1,0
85,2,4
85,3,5
85,4,5
85,5,6
85,6,1
85,7,2
86,0,0
86,1,4
86,2,4
86,3,4
86,4,4
86,5,4
86,6,4
86,7,4
87,0,0
87,1,0
87,2,4
87,3,5
87,4,5
87,5,5
87,6,6
87,7,1
87,8,2
88,0,0
88,1,4
88,2,5
88,3,5
88,4,5
88,5,6
88,6,1
88,7,2
89,0,0
89,1,4
89,2,5
89,3,5
89,4,5
89,5,5
90,0,0
90,1,0
90,2,4
90,3,5
90,4,5
90,5,5
90,6,5
90,7,5
90,8,5
90,9,1
90,10,2
91,0,0
91,1,4
91,2,4
91,3,5
91,4,5
91,5,6
91,6,6
91,7,1
91,8,2
92,0,0
92,1,4
92,2,4
92,3,4
92,4,4
92,5,4
92,6,4
92,7,4
92,8,5
92,9,3
92,10,3
92,11,3
92,12,3
92,13,3
92,14,1
92,15,2
93,0,0
93,1,0
93,2,4
93,3,4
93,4,4
93,5,5
93,6,5
93,7,6
93,8,1
93,9,2
94,0,0
94,1,0
94,2,4
94,3,4
94,4,4
94,5,5
94,6,5
94,7,5
94,8,5
94,9,5
94,10,7
94,11,7
94,12,1
94,13,2
95,0,0
95,1,4
95,2,5
95,3,5
95,4,6
95,5,1
95,6,2
96,0,0
96,1,0
96,2,4
96,3,4
96,4,4
96,5,4
96,6,4
96,7,4
96,8,4
96,9,4
96,10,5
96,11,5
